id,city_name,restaurant_url,restaurant_name,restaurant_cuisines,restaurant_locality,restaurant_rating,cost_for_two,count_of_ratings,offers
241,vapi,https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-kanchan-nagar-vapi-locality-vapi-363515,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream, Ice Cream Cakes",Vapi Locality,4.5,₹200 for two,500+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
242,vapi,https://www.swiggy.com/restaurants/natural-ice-cream-charwada-road-vapi-locality-vapi-256599,Natural Ice Cream,"Ice Cream, Desserts",Vapi Locality,4.6,₹150 for two,500+ ratings,20% OFF UPTO ₹50; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
243,vapi,https://www.swiggy.com/restaurants/starbucks-coffee-koparli-road-vapi-locality-vapi-407804,Starbucks Coffee,"Beverages, Cafe, Snacks, Desserts, Bakery, Ice Cream",Vapi Locality,4.1,₹400 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
244,vapi,https://www.swiggy.com/restaurants/burger-king-gunjan-road-gidc-vapi-221812,Burger King,"Burgers, American",Gidc,4.2,₹350 for two,1K+ ratings,
245,vellore,https://www.swiggy.com/restaurants/kanpur-chaat-corner-arni-main-road-kosapet-vellore-132793,Kanpur Chaat Corner,Desserts,Kosapet,4,₹150 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
246,vellore,https://www.swiggy.com/restaurants/fry-yo-green-circle-thottapalayam-vellore-72050,Fry Yo,"Pastas, Desserts, Burgers, Ice Cream",Thottapalayam,4,₹350 for two,10K+ ratings,30% OFF UPTO ₹75; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
247,vellore,https://www.swiggy.com/restaurants/madurai-pandiyan-hotel-green-circle-thottapalayam-vellore-158638,Madurai Pandiyan Hotel,"South Indian, North Indian, Chinese, Biryani",Thottapalayam,3.8,₹350 for two,5K+ ratings,FLAT ₹125 OFF; 60% OFF UPTO ₹120; Free Egg Podimas; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
248,vellore,https://www.swiggy.com/restaurants/thendral-tea-shop-green-circle-thottapalayam-vellore-106803,Thendral Tea Shop,Ice Cream,Thottapalayam,4.1,₹300 for two,500+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
249,vellore,https://www.swiggy.com/restaurants/zufruita-arcot-road-saidapet-vellore-131874,Zufruita,"Biryani, Chinese, North Indian, Burgers, Ice Cream, Desserts",Saidapet,4.1,₹200 for two,10K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
250,veraval,https://www.swiggy.com/restaurants/coastal-pizza-new-patelwada-musafir-khana-veraval-420415,Coastal Pizza,"Fast Food, Pizzas",Musafir Khana,3.8,₹300 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
251,veraval,https://www.swiggy.com/restaurants/friendz-cake-shop-bus-station-road-veraval-city-veraval-424217,Friendz Cake Shop,"Bakery, Desserts",Veraval City,3.8,₹400 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
252,veraval,https://www.swiggy.com/restaurants/eat-it-more-rajendrabhuvan-road-veraval-locality-veraval-425056,Eat It More,"Chinese, North Indian, Burgers, Pizzas",Veraval Locality,3.7,₹300 for two,50+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
253,veraval,https://www.swiggy.com/restaurants/macarons-cafe-veraval-locality-veraval-425141,Macarons Cafe,"Pastas, Burgers, Pizzas",Veraval Locality,4.3,₹300 for two,50+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
254,veraval,https://www.swiggy.com/restaurants/fusion-kitchen-st-road-veraval-city-veraval-567253,Fusion Kitchen,"Burgers, Snacks, Fast Food, Beverages",Veraval City,3.1,₹300 for two,50+ ratings,FLAT ₹125 OFF; 60% OFF UPTO ₹120; FLAT ₹150 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
255,veraval,https://www.swiggy.com/restaurants/labbaik-burger-and-pizza-talala-rd-veraval-city-veraval-674329,Labbaik Burger And Pizza	,"Burgers, Pizzas",Veraval City,,₹200 for two,Too Few Ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
256,vapi,https://www.swiggy.com/restaurants/mcdonalds-housing-board-colony-vapi-locality-vapi-118349,Mcdonald's,"Burgers, Beverages, Cafe, Desserts",Vapi Locality,4.1,₹350 for two,1K+ ratings,FLAT 10% OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
257,veraval,https://www.swiggy.com/restaurants/shree-bhabha-restaurant-rayon-housing-society-veraval-city-veraval-423080,Shree Bhabha Restaurant,"Chinese, North Indian, South Indian",Veraval City,3.8,₹300 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
258,virudhunagar,https://www.swiggy.com/restaurants/star-fast-food-near-bus-stand-sivagami-puram-virudhunagar-158214,Star Fast Food,"Chinese, North Indian, South Indian",Sivagami Puram,4.1,₹300 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
259,virudhunagar,https://www.swiggy.com/restaurants/amaze-yummy-bites-aruppukottai-road-fathimanagar-virudhunagar-481450,Amaze Yummy Bites,"Chinese, Burgers, Pizzas",Fathimanagar,3.2,₹150 for two,100+ ratings,60% OFF UPTO ₹120; Free Free Delight; FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
