ID,City,Restaurant Name,Area Name,Cost for Two,Cuisines,Average Rating,Total Ratings,Is Open,Next Close Time,Aggregated Discount Info,Serviceability,Restaurant Link
6181,Pune,Magic Mikes Burger Therapy,Salunkhe Vihar Road,₹600 for two,American,4.3,500+,True,2023-09-01 23:30:00,,SERVICEABLE,https://www.swiggy.com/restaurants/magic-mikes-burger-therapy-salunke-vihar-road-salunkhe-vihar-road-pune-276859
6182,Pune,Spice 2 Go,Shivajinagar,₹350 for two,Indian,,,True,2023-09-01 23:00:00,20% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/spice-2-go-janwadi-shivajinagar-pune-539633
6183,Pune,Go Rigo Go,Salunkhe Vihar Road,₹300 for two,"Pizzas, Beverages, Pastas, Cafe",4.2,500+,True,2023-09-01 23:59:00,₹100 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/go-rigo-go-salunke-vihar-road-salunkhe-vihar-road-pune-378551
6184,Pune,Uncle Kitchen,Camp,₹250 for two,"North Indian, Chinese",4,500+,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/uncle-kitchen-nucleus-mall-camp-pune-44174
6185,Pune,Hotel Zam Zam,Camp,₹300 for two,"North Indian, Chinese",3.3,100+,True,2023-09-02 01:31:00,50% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/hotel-zam-zam-bhawani-peth-camp-pune-375326
6186,Pune,Jyoti Restaurant,Kondhwa,₹300 for two,"North Indian, South Indian, Beverages, Ice Cream, Chinese, Snacks",4.4,5K+,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/jyoti-restaurant-nibm-road-kondhwa-pune-399576
6187,Pune,Chinese Karkhana,Kothrud,₹200 for two,"Chinese, Tibetan, Healthy Food, Pan-Asian",4.1,500+,True,2023-09-01 23:30:00,₹100 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/chinese-karkhana-gujarat-colony-kothrud-pune-493612
6188,Pune,RocoMamas,Kalyani Nagar,₹1000 for two,American,4.2,500+,True,2023-09-01 23:00:00,₹125 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/rocomamas-kalyani-nagar-pune-377315
6189,Pune,Malabar,Karve Nagar,₹400 for two,"North Indian, Chinese",3.9,10K+,True,2023-09-01 23:59:00,60% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/malabar-hingne-budrukh-karve-nagar-pune-42784
6190,Pune,Mad Over Bowls (MOB),Kothrud,₹200 for two,"Chinese, Tibetan",4.1,1K+,True,2023-09-01 23:30:00,₹100 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/mad-over-bowls-mob-gujarat-colony-kothrud-pune-495448
6191,Pune,Zen Cafe,Koregaon Park,₹800 for two,European,4.4,100+,True,2023-09-01 22:30:00,,SERVICEABLE,https://www.swiggy.com/restaurants/zen-cafe-koregaon-park-pune-134883
6192,Pune,Pavbhaji Express,Kothrud,₹200 for two,"Indian, Fast Food",3.3,5,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/pavbhaji-express-poud-road-kothrud-pune-713150
6193,Pune,Bread Story,Kalyani Nagar,₹350 for two,Bakery,4.5,1K+,True,2023-09-01 21:45:00,,SERVICEABLE,https://www.swiggy.com/restaurants/bread-story-east-avenue-kalyani-nagar-pune-27552
6194,Pune,The Sassy Spoon,Koregaon Park,₹1200 for two,European,4.5,1K+,True,2023-09-01 23:25:00,60% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/the-sassy-spoon-meera-nagar-koregaon-park-pune-21545
6195,Pune,Spice Culture,Salunkhe Vihar,₹500 for two,"Chinese, North Indian, Biryani, Continental, Thai, Pizzas, Pastas",4.2,1K+,True,2023-09-02 00:30:00,₹125 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/spice-culture-salunkhe-vihar-pune-105822
6196,Pune,Spice 2 Go,Shivajinagar,₹350 for two,Indian,,,True,2023-09-01 23:00:00,20% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/spice-2-go-janwadi-shivajinagar-pune-539633
6197,Pune,Go Rigo Go,Salunkhe Vihar Road,₹300 for two,"Pizzas, Beverages, Pastas, Cafe",4.2,500+,True,2023-09-01 23:59:00,₹100 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/go-rigo-go-salunke-vihar-road-salunkhe-vihar-road-pune-378551
6198,Pune,Uncle Kitchen,Camp,₹250 for two,"North Indian, Chinese",4,500+,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/uncle-kitchen-nucleus-mall-camp-pune-44174
6199,Pune,Hotel Zam Zam,Camp,₹300 for two,"North Indian, Chinese",3.3,100+,True,2023-09-02 01:31:00,50% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/hotel-zam-zam-bhawani-peth-camp-pune-375326
6200,Pune,Jyoti Restaurant,Kondhwa,₹300 for two,"North Indian, South Indian, Beverages, Ice Cream, Chinese, Snacks",4.4,5K+,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/jyoti-restaurant-nibm-road-kondhwa-pune-399576
6201,Pune,Chinese Karkhana,Kothrud,₹200 for two,"Chinese, Tibetan, Healthy Food, Pan-Asian",4.1,500+,True,2023-09-01 23:30:00,₹100 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/chinese-karkhana-gujarat-colony-kothrud-pune-493612
6202,Pune,RocoMamas,Kalyani Nagar,₹1000 for two,American,4.2,500+,True,2023-09-01 23:00:00,₹125 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/rocomamas-kalyani-nagar-pune-377315
6203,Pune,Malabar,Karve Nagar,₹400 for two,"North Indian, Chinese",3.9,10K+,True,2023-09-01 23:59:00,60% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/malabar-hingne-budrukh-karve-nagar-pune-42784
6204,Pune,Mad Over Bowls (MOB),Kothrud,₹200 for two,"Chinese, Tibetan",4.1,1K+,True,2023-09-01 23:30:00,₹100 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/mad-over-bowls-mob-gujarat-colony-kothrud-pune-495448
6205,Pune,Zen Cafe,Koregaon Park,₹800 for two,European,4.4,100+,True,2023-09-01 22:30:00,,SERVICEABLE,https://www.swiggy.com/restaurants/zen-cafe-koregaon-park-pune-134883
6206,Pune,Pavbhaji Express,Kothrud,₹200 for two,"Indian, Fast Food",3.3,5,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/pavbhaji-express-poud-road-kothrud-pune-713150
6207,Pune,Bread Story,Kalyani Nagar,₹350 for two,Bakery,4.5,1K+,True,2023-09-01 21:45:00,,SERVICEABLE,https://www.swiggy.com/restaurants/bread-story-east-avenue-kalyani-nagar-pune-27552
6208,Pune,The Sassy Spoon,Koregaon Park,₹1200 for two,European,4.5,1K+,True,2023-09-01 23:25:00,60% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/the-sassy-spoon-meera-nagar-koregaon-park-pune-21545
6209,Pune,Spice Culture,Salunkhe Vihar,₹500 for two,"Chinese, North Indian, Biryani, Continental, Thai, Pizzas, Pastas",4.2,1K+,True,2023-09-02 00:30:00,₹125 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/spice-culture-salunkhe-vihar-pune-105822
6210,Pune,Cafe Zam Zam,Kondhwa,₹300 for two,"Mughlai, North Indian, Chinese, Fast Food, Biryani",4.2,10K+,True,2023-09-01 23:30:00,,SERVICEABLE,https://www.swiggy.com/restaurants/cafe-zam-zam-road-kondhwa-pune-16118
6211,Pune,Go Rigo Go,Salunkhe Vihar Road,₹300 for two,"Pizzas, Beverages, Pastas, Cafe",4.2,500+,True,2023-09-01 23:59:00,₹100 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/go-rigo-go-salunke-vihar-road-salunkhe-vihar-road-pune-378551
6212,Pune,Uncle Kitchen,Camp,₹250 for two,"North Indian, Chinese",4,500+,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/uncle-kitchen-nucleus-mall-camp-pune-44174
6213,Pune,Hotel Zam Zam,Camp,₹300 for two,"North Indian, Chinese",3.3,100+,True,2023-09-02 01:31:00,50% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/hotel-zam-zam-bhawani-peth-camp-pune-375326
6214,Pune,Jyoti Restaurant,Kondhwa,₹300 for two,"North Indian, South Indian, Beverages, Ice Cream, Chinese, Snacks",4.4,5K+,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/jyoti-restaurant-nibm-road-kondhwa-pune-399576
6215,Pune,Chinese Karkhana,Kothrud,₹200 for two,"Chinese, Tibetan, Healthy Food, Pan-Asian",4.1,500+,True,2023-09-01 23:30:00,₹100 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/chinese-karkhana-gujarat-colony-kothrud-pune-493612
6216,Pune,RocoMamas,Kalyani Nagar,₹1000 for two,American,4.2,500+,True,2023-09-01 23:00:00,₹125 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/rocomamas-kalyani-nagar-pune-377315
6217,Pune,Malabar,Karve Nagar,₹400 for two,"North Indian, Chinese",3.9,10K+,True,2023-09-01 23:59:00,60% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/malabar-hingne-budrukh-karve-nagar-pune-42784
6218,Pune,Mad Over Bowls (MOB),Kothrud,₹200 for two,"Chinese, Tibetan",4.1,1K+,True,2023-09-01 23:30:00,₹100 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/mad-over-bowls-mob-gujarat-colony-kothrud-pune-495448
6219,Pune,Zen Cafe,Koregaon Park,₹800 for two,European,4.4,100+,True,2023-09-01 22:30:00,,SERVICEABLE,https://www.swiggy.com/restaurants/zen-cafe-koregaon-park-pune-134883
6220,Pune,Bread Story,Kalyani Nagar,₹350 for two,Bakery,4.5,1K+,True,2023-09-01 21:45:00,,SERVICEABLE,https://www.swiggy.com/restaurants/bread-story-east-avenue-kalyani-nagar-pune-27552
